#Frequency,Eps1,Eps2,Eps1,Eps2
216.633,-414.3492552,46.27090186,5,0.1
217.276,-413.7655327,47.2183938,5,0.1
217.919,-413.3720907,46.67621945,5,0.1
218.561,-412.0479737,44.84786981,5,0.1
219.204,-409.173872,42.98033083,5,0.1
219.847,-405.3322937,42.28354187,5,0.1
220.49,-401.7513518,42.99238699,5,0.1
221.133,-399.1288838,44.18906294,5,0.1
221.776,-397.4497533,45.34100594,5,0.1
222.418,-396.3934334,45.78461181,5,0.1
223.061,-395.3431072,45.51325686,5,0.1
223.704,-393.9876145,44.83681754,5,0.1
224.347,-392.2881294,44.020134,5,0.1
224.99,-390.3565148,43.25939153,5,0.1
225.633,-388.2420948,42.47608481,5,0.1
226.275,-385.808743,41.82042601,5,0.1
226.918,-383.4162631,41.85404735,5,0.1
227.561,-381.5646736,41.97102955,5,0.1
228.204,-380.2361865,41.91906962,5,0.1
228.847,-378.9843535,40.96300651,5,0.1
229.49,-377.1722445,39.76112683,5,0.1
230.132,-374.9525303,38.67479497,5,0.1
230.775,-372.5954349,37.82522479,5,0.1
231.418,-370.0016505,36.87036063,5,0.1
232.061,-367.1812674,36.52836392,5,0.1
232.704,-364.6675389,36.54472127,5,0.1
233.346,-362.5790411,36.61898321,5,0.1
233.989,-360.707223,36.33548912,5,0.1
234.632,-358.6496427,35.79582878,5,0.1
235.275,-356.3100803,35.37016051,5,0.1
235.918,-353.9891303,35.32409454,5,0.1
236.561,-352.0276779,35.40183857,5,0.1
237.203,-350.3469345,35.14841457,5,0.1
237.846,-348.4640431,34.4264643,5,0.1
238.489,-346.0227623,33.70350666,5,0.1
239.132,-343.328182,33.59601306,5,0.1
239.775,-340.8529729,33.86942818,5,0.1
240.418,-338.7683848,34.40047745,5,0.1
241.06,-337.0737369,34.76874848,5,0.1
241.703,-335.5608696,34.9501939,5,0.1
242.346,-334.1063276,34.86067784,5,0.1
242.989,-332.4991646,34.54082791,5,0.1
243.632,-330.6224726,34.24845596,5,0.1
244.275,-328.6599755,34.27929967,5,0.1
244.917,-326.8851098,34.5343918,5,0.1
245.56,-325.5639251,34.98743481,5,0.1
246.203,-324.6788935,34.91035071,5,0.1
246.846,-323.668149,34.28778456,5,0.1
247.489,-322.3356624,33.48901287,5,0.1
248.132,-320.7001411,32.58757302,5,0.1
248.774,-318.7328918,31.77598462,5,0.1
249.417,-316.5905979,31.26611276,5,0.1
250.06,-314.4477631,30.949022,5,0.1
250.703,-312.3434886,30.82483299,5,0.1
251.346,-310.3549728,30.83826926,5,0.1
251.988,-308.417728,30.85450218,5,0.1
252.631,-306.5627303,31.12003626,5,0.1
253.274,-304.9850763,31.41984618,5,0.1
253.917,-303.5386428,31.55373164,5,0.1
254.56,-302.1577673,31.75318865,5,0.1
255.203,-301.0098649,31.92539529,5,0.1
255.845,-300.169014,31.90913614,5,0.1
256.488,-299.3811754,31.25767595,5,0.1
257.131,-298.1232237,30.19074315,5,0.1
257.774,-296.3314027,29.23014225,5,0.1
258.417,-294.2124772,28.52013761,5,0.1
259.06,-291.9401147,28.19036728,5,0.1
259.702,-289.6612526,28.19321198,5,0.1
260.345,-287.5498762,28.65341984,5,0.1
260.988,-285.9458034,29.39418862,5,0.1
261.631,-284.8385697,29.87387069,5,0.1
262.274,-283.9169184,29.99889545,5,0.1
262.917,-282.8912783,29.72918318,5,0.1
263.559,-281.6256896,29.42299348,5,0.1
264.202,-280.2201179,29.14995405,5,0.1
264.845,-278.802392,29.0340597,5,0.1
265.488,-277.4369732,28.87314496,5,0.1
266.131,-276.0885405,28.76612887,5,0.1
266.774,-274.7338897,28.55458466,5,0.1
267.416,-273.3068933,28.4343881,5,0.1
268.059,-271.9761909,28.42932798,5,0.1
268.702,-270.7655009,28.28997742,5,0.1
269.345,-269.4397542,27.98249334,5,0.1
269.988,-267.9104079,27.79399792,5,0.1
270.63,-266.4102121,27.9041871,5,0.1
271.273,-265.2112189,28.15489979,5,0.1
271.916,-264.2868627,28.15357627,5,0.1
272.559,-263.2995542,27.80259763,5,0.1
273.202,-261.9958367,27.35713813,5,0.1
273.845,-260.5137693,27.22007713,5,0.1
274.487,-259.2707885,27.35560628,5,0.1
275.13,-258.2984914,27.24846623,5,0.1
275.773,-257.3074888,26.90542002,5,0.1
276.416,-256.1192464,26.3492537,5,0.1
277.059,-254.6834312,25.85290853,5,0.1
277.702,-252.9809473,25.36759537,5,0.1
278.344,-251.119289,25.35712136,5,0.1
278.987,-249.4017816,25.58632277,5,0.1
279.63,-247.9096791,26.06208552,5,0.1
280.273,-246.6432234,26.47553998,5,0.1
280.916,-245.514082,26.99025726,5,0.1
281.559,-244.641819,27.49673227,5,0.1
282.201,-243.9988288,27.86366839,5,0.1
282.844,-243.5307209,28.04232759,5,0.1
283.487,-243.1170434,27.88470312,5,0.1
284.13,-242.5800743,27.49236888,5,0.1
284.773,-241.8456317,26.94104925,5,0.1
285.416,-240.8903945,26.40040297,5,0.1
286.058,-239.8322274,25.97456128,5,0.1
286.701,-238.7512261,25.59042377,5,0.1
287.344,-237.6536338,25.24845834,5,0.1
287.987,-236.5347616,24.90592545,5,0.1
288.63,-235.356003,24.59744162,5,0.1
289.272,-234.1581017,24.41000723,5,0.1
289.915,-233.1172733,24.36830851,5,0.1
290.558,-232.2177186,24.10730518,5,0.1
291.201,-231.2776884,23.76252822,5,0.1
291.844,-230.2371682,23.24772535,5,0.1
292.487,-228.9795294,22.74480987,5,0.1
293.129,-227.5798589,22.38191718,5,0.1
293.772,-226.0965588,22.1636639,5,0.1
294.415,-224.6346766,22.21513571,5,0.1
295.058,-223.3874285,22.44483315,5,0.1
295.701,-222.4103603,22.63481698,5,0.1
296.344,-221.5350629,22.57599383,5,0.1
296.986,-220.5513263,22.38891199,5,0.1
297.629,-219.4288058,22.2183113,5,0.1
298.272,-218.2588832,22.18667657,5,0.1
298.915,-217.1066057,22.22824336,5,0.1
299.558,-216.1564387,22.51352731,5,0.1
300.201,-215.416711,22.46953347,5,0.1
300.843,-214.5776892,22.3385436,5,0.1
301.486,-213.6394088,22.15718659,5,0.1
302.129,-212.672264,22.11215223,5,0.1
302.772,-211.7631827,22.04020678,5,0.1
303.415,-210.9511415,22.05247598,5,0.1
304.058,-210.2297387,21.8360207,5,0.1
304.7,-209.4279383,21.53996349,5,0.1
305.343,-208.5070043,21.12602045,5,0.1
305.986,-207.4084184,20.7571854,5,0.1
306.629,-206.2033778,20.50985253,5,0.1
307.272,-204.9657557,20.42509625,5,0.1
307.914,-203.8706852,20.55775369,5,0.1
308.557,-202.9827353,20.58716189,5,0.1
309.2,-202.0895373,20.45160561,5,0.1
309.843,-201.1055482,20.30266027,5,0.1
310.486,-199.9957156,20.13506658,5,0.1
311.129,-198.8690639,20.25073115,5,0.1
311.771,-197.9443921,20.39331168,5,0.1
312.414,-197.1025293,20.42008074,5,0.1
313.057,-196.2520825,20.4127004,5,0.1
313.7,-195.4059233,20.37370405,5,0.1
314.343,-194.5444367,20.30080716,5,0.1
314.986,-193.6585408,20.22342049,5,0.1
315.628,-192.7509894,20.14227231,5,0.1
316.271,-191.8345928,20.08920319,5,0.1
316.914,-190.9024853,20.00304148,5,0.1
317.557,-189.8894683,19.93309707,5,0.1
318.2,-188.8422382,20.00390857,5,0.1
318.843,-187.8544092,20.1685513,5,0.1
319.485,-187.0095974,20.43910927,5,0.1
320.128,-186.299091,20.5827469,5,0.1
320.771,-185.5894743,20.66637941,5,0.1
321.414,-184.8627573,20.7167575,5,0.1
322.057,-184.1861552,20.83061358,5,0.1
322.7,-183.5827333,20.8132509,5,0.1
323.342,-182.9609051,20.7358601,5,0.1
323.985,-182.2665046,20.53408996,5,0.1
324.628,-181.432789,20.36567428,5,0.1
325.271,-180.5374653,20.29802397,5,0.1
325.914,-179.6734356,20.34453892,5,0.1
326.556,-178.9091781,20.43291646,5,0.1
327.199,-178.2549087,20.48355395,5,0.1
327.842,-177.6396198,20.37760408,5,0.1
328.485,-176.8894024,20.11483873,5,0.1
329.128,-175.9034863,19.89406809,5,0.1
329.771,-174.7800403,19.91445705,5,0.1
330.413,-173.7649434,20.237336,5,0.1
331.056,-173.0109966,20.62517601,5,0.1
331.699,-172.4600049,20.91498173,5,0.1
332.342,-171.9531161,21.00330257,5,0.1
332.985,-171.3500646,21.02123957,5,0.1
333.628,-170.6935923,21.10475894,5,0.1
334.27,-170.0867732,21.24640305,5,0.1
334.913,-169.6093439,21.41017817,5,0.1
335.556,-169.2363556,21.38993592,5,0.1
336.199,-168.762379,21.1745096,5,0.1
336.842,-168.1268098,20.98020043,5,0.1
337.485,-167.3987123,20.81924985,5,0.1
338.127,-166.6263091,20.77392276,5,0.1
338.77,-165.8663564,20.77893171,5,0.1
339.413,-165.1148366,20.8568216,5,0.1
340.056,-164.4190028,21.01538277,5,0.1
340.699,-163.8353413,21.21664735,5,0.1
341.342,-163.378312,21.36800618,5,0.1
341.984,-162.9749244,21.38462747,5,0.1
342.627,-162.5241581,21.29593572,5,0.1
343.27,-161.9850252,21.16628259,5,0.1
343.913,-161.3602137,21.06758813,5,0.1
344.556,-160.7111103,21.05777764,5,0.1
345.198,-160.1125801,21.10328858,5,0.1
345.841,-159.5677679,21.13490718,5,0.1
346.484,-159.0547178,21.14856444,5,0.1
347.127,-158.53307,21.09052918,5,0.1
347.77,-157.9587887,21.04466892,5,0.1
348.413,-157.3401001,21.01207043,5,0.1
349.055,-156.7072222,21.08891553,5,0.1
349.698,-156.1588692,21.24831982,5,0.1
350.341,-155.7448855,21.41061827,5,0.1
350.984,-155.4179885,21.4551022,5,0.1
351.627,-155.081923,21.40786323,5,0.1
352.27,-154.7128388,21.30917852,5,0.1
352.912,-154.3202582,21.1838517,5,0.1
353.555,-153.8931222,21.00777423,5,0.1
354.198,-153.4100621,20.82123131,5,0.1
354.841,-152.8657156,20.62325284,5,0.1
355.484,-152.2225907,20.4498872,5,0.1
